direct?;source;from;to;from declaration
False;ThisChangingType;cs+class://Raven/Database/Bundles/Replication/Controllers/ReplicationController;cs+class://Raven/Database/Server/Controllers/BundlesApiController;ExecuteActualRequest in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Bundles/Replication/Controllers/ReplicationController;cs+class://Raven/Database/Server/Controllers/BundlesApiController;GetEmptyMessage in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Bundles/Replication/Controllers/ReplicationController;cs+class://Raven/Database/Server/Controllers/BundlesApiController;GetMessageWithObject in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Bundles/Replication/Controllers/ReplicationController;cs+class://Raven/Database/Server/Controllers/BundlesApiController;GetMessageWithString in Raven.Database.Server.Controllers.RavenDbApiController
True;Return;cs+class://Raven/Database/Bundles/ScriptedIndexResults/ScriptedIndexResultsIndexTrigger/Batcher;cs+class://Raven/Database/Plugins/AbstractIndexUpdateTriggerBatcher;CreateBatcher in Raven.Database.Bundles.ScriptedIndexResults.ScriptedIndexResultsIndexTrigger
True;Return;cs+class://Raven/Database/Impl/DTC/EsentInFlightTransactionalState;cs+class://Raven/Database/Impl/DTC/InFlightTransactionalState;GetInFlightTransactionalState in Raven.Storage.Esent.TransactionalStorage
True;ThisChangingType;cs+class://Raven/Database/Indexing/IndependentBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;BaseBatchSizeAutoTuner in Raven.Database.Indexing.BaseBatchSizeAutoTuner
True;VariableInitializer;cs+class://Raven/Database/Indexing/IndexReaderWarmersWrapper;cs+class://Lucene/Net/Index/IndexWriter/IndexReaderWarmer;CreateIndexWriter in Raven.Database.Indexing.Index
True;ThisChangingType;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;ExecuteAsync in Raven.Database.Server.Controllers.Admin.BaseAdminController
True;ThisChangingType;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;ExecuteAsync in Raven.Database.Server.Controllers.Admin.BaseAdminController
False;ThisChangingType;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;ExecuteAsync in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;ExecuteAsync in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;ExecuteActualRequest in Raven.Database.Server.Controllers.RavenDbApiController
False;ThisChangingType;cs+class://Raven/Database/Server/Controllers/AdminBundlesApiController;cs+class://Raven/Database/Server/Controllers/Admin/BaseAdminController;GetEmptyMessage in Raven.Database.Server.Controllers.RavenDbApiController
